,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
0,Gladiator,2000,R,8.5,67.0,1341716,187705427,155,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
1,Memento,2000,R,8.4,80.0,1341716,25544867,113,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.
2,Snatch,2000,R,8.3,55.0,1341716,30328156,102,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
3,Requiem for a Dream,2000,R,8.3,68.0,1341716,3635482,102,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
4,X-Men,2000,PG-13,7.4,64.0,1341716,157299717,104,"Action, Adventure, Sci-Fi","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
5,Cast Away,2000,PG-13,7.8,73.0,1341716,233632142,143,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
6,American Psycho,2000,R,7.6,64.0,1341716,15070285,101,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
7,Unbreakable,2000,PG-13,7.3,62.0,1341716,95011339,106,"Drama, Mystery, Sci-Fi",A man learns something extraordinary about himself after a devastating accident.
8,Mission: Impossible II,2000,PG-13,6.1,59.0,1341716,215409889,123,"Action, Adventure, Thriller","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
9,Meet the Parents,2000,PG-13,7.0,73.0,1341716,166244045,108,"Comedy, Romance","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
10,"O Brother, Where Art Thou?",2000,PG-13,7.7,69.0,1341716,45512588,107,"Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
11,Gone in 60 Seconds,2000,PG-13,6.5,35.0,1341716,101648571,118,"Action, Crime, Thriller",A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
12,The Patriot,2000,R,7.2,63.0,1341716,113330342,165,"Action, Drama, History",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
13,"Crouching Tiger, Hidden Dragon",2000,PG-13,7.8,94.0,1341716,128078872,120,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
14,Almost Famous,2000,R,7.9,90.0,1341716,32534850,122,"Adventure, Comedy, Drama",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
15,Scary Movie,2000,R,6.2,48.0,1341716,157019771,88,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
16,Final Destination,2000,R,6.7,36.0,1341716,53331147,98,"Horror, Thriller","Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane."
17,Pitch Black,2000,R,7.1,49.0,1341716,39240659,109,"Action, Horror, Sci-Fi","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur."
18,Amores Perros,2000,R,8.1,83.0,1341716,5383834,154,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
19,The Beach,2000,R,6.7,43.0,1341716,39785027,119,"Adventure, Drama, Romance","Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it."
20,"Me, Myself & Irene",2000,R,6.6,49.0,1341716,90570999,116,Comedy,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.
21,How the Grinch Stole Christmas,2000,PG,6.2,46.0,1341716,260044825,104,"Comedy, Family, Fantasy","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
22,Remember the Titans,2000,PG,7.8,48.0,1341716,115654751,113,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
23,Traffic,2000,R,7.6,86.0,1341716,124115725,147,"Crime, Drama, Thriller","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
24,What Women Want,2000,PG-13,6.4,47.0,1341716,182811707,127,"Comedy, Fantasy, Romance","A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
25,Miss Congeniality,2000,PG-13,6.3,43.0,1341716,106807667,109,"Action, Comedy, Crime",An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
26,The Emperor's New Groove,2000,G,7.4,70.0,1341716,89302687,78,"Animation, Adventure, Comedy","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
27,Chocolat,2000,PG-13,7.2,64.0,1341716,71509363,121,"Drama, Romance",A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.
28,Chicken Run,2000,G,7.0,88.0,1341716,106834564,84,"Animation, Adventure, Comedy","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
29,Charlie's Angels,2000,PG-13,5.5,52.0,1341716,125305545,98,"Action, Adventure, Comedy","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
30,Erin Brockovich,2000,R,7.3,73.0,1341716,125595205,131,"Biography, Drama",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
31,Battle Royale,2000,Not Rated,7.6,81.0,1341716,-1,114,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
32,High Fidelity,2000,R,7.5,79.0,1341716,27277055,113,"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
33,Road Trip,2000,R,6.4,55.0,1341716,68540777,93,Comedy,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.
34,The Perfect Storm,2000,PG-13,6.4,59.0,1341716,182618434,130,"Action, Adventure, Drama",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
35,"Dude, Where's My Car?",2000,PG-13,5.5,30.0,1341716,46729800,83,"Comedy, Mystery, Sci-Fi",Two potheads wake up after a night of partying and cannot remember where they parked their car.
