,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre
0,Gladiator,(2000),R,8.5,67        ,1341716,"187,705,427",155 min,"
Action, Adventure, Drama            "
1,Memento,(2000),R,8.4,80        ,1125947,"25,544,867",113 min,"
Mystery, Thriller            "
2,Snatch,(2000),R,8.3,55        ,782143,"30,328,156",102 min,"
Comedy, Crime            "
3,Requiem for a Dream,(2000),R,8.3,68        ,767031,"3,635,482",102 min,"
Drama            "
4,X-Men,(2000),PG-13,7.4,64        ,570708,"157,299,717",104 min,"
Action, Adventure, Sci-Fi            "
5,Cast Away,(2000),PG-13,7.8,73        ,524332,"233,632,142",143 min,"
Adventure, Drama, Romance            "
6,American Psycho,(2000),R,7.6,64        ,490236,"15,070,285",101 min,"
Comedy, Crime, Drama            "
7,Unbreakable,(2000),PG-13,7.3,62        ,387133,"95,011,339",106 min,"
Drama, Mystery, Sci-Fi            "
8,Mission: Impossible II,(2000),PG-13,6.1,59        ,314771,"215,409,889",123 min,"
Action, Adventure, Thriller            "
9,Meet the Parents,(2000),PG-13,7.0,73        ,311189,"166,244,045",108 min,"
Comedy, Romance            "
10,"O Brother, Where Art Thou?",(2000),PG-13,7.7,69        ,286826,"45,512,588",107 min,"
Adventure, Comedy, Crime            "
11,Gone in 60 Seconds,(2000),PG-13,6.5,35        ,260559,"101,648,571",118 min,"
Action, Crime, Thriller            "
12,The Patriot,(2000),R,7.2,63        ,254584,"113,330,342",165 min,"
Action, Drama, History            "
13,"Crouching Tiger, Hidden Dragon",(2000),PG-13,7.8,94        ,253260,"128,078,872",120 min,"
Action, Adventure, Fantasy            "
14,Almost Famous,(2000),R,7.9,90        ,252623,"32,534,850",122 min,"
Adventure, Comedy, Drama            "
15,Scary Movie,(2000),R,6.2,48        ,232292,"157,019,771",88 min,"
Comedy            "
16,Final Destination,(2000),R,6.7,36        ,229792,"53,331,147",98 min,"
Horror, Thriller            "
17,Pitch Black,(2000),R,7.1,49        ,225380,"39,240,659",109 min,"
Action, Horror, Sci-Fi            "
18,Amores Perros,(2000),R,8.1,83        ,223766,"5,383,834",154 min,"
Drama, Thriller            "
19,The Beach,(I) (2000),R,6.7,43        ,223236,"39,785,027",119 min,"
Adventure, Drama, Romance            "
20,"Me, Myself & Irene",(2000),R,6.6,49        ,222363,"90,570,999",116 min,"
Comedy            "
21,How the Grinch Stole Christmas,(2000),PG,6.2,46        ,215828,"260,044,825",104 min,"
Comedy, Family, Fantasy            "
22,Remember the Titans,(2000),PG,7.8,48        ,198126,"115,654,751",113 min,"
Biography, Drama, Sport            "
23,Traffic,(2000),R,7.6,86        ,195750,"124,115,725",147 min,"
Crime, Drama, Thriller            "
24,What Women Want,(2000),PG-13,6.4,47        ,191684,"182,811,707",127 min,"
Comedy, Fantasy, Romance            "
25,Miss Congeniality,(2000),PG-13,6.3,43        ,188104,"106,807,667",109 min,"
Action, Comedy, Crime            "
26,The Emperor's New Groove,(2000),G,7.4,70        ,180537,"89,302,687",78 min,"
Animation, Adventure, Comedy            "
27,Chocolat,(2000),PG-13,7.2,64        ,177823,"71,509,363",121 min,"
Drama, Romance            "
28,Chicken Run,(2000),G,7.0,88        ,177140,"106,834,564",84 min,"
Animation, Adventure, Comedy            "
29,Charlie's Angels,(2000),PG-13,5.5,52        ,176272,"125,305,545",98 min,"
Action, Adventure, Comedy            "
30,Erin Brockovich,(2000),R,7.3,73        ,175033,"125,595,205",131 min,"
Biography, Drama            "
31,Battle Royale,(2000),Not Rated,7.6,81        ,169102,,114 min,"
Action, Adventure, Drama            "
32,High Fidelity,(2000),R,7.5,79        ,168187,"27,277,055",113 min,"
Comedy, Drama, Music            "
33,Road Trip,(2000),R,6.4,55        ,158081,"68,540,777",93 min,"
Comedy            "
34,The Perfect Storm,(2000),PG-13,6.4,59        ,156353,"182,618,434",130 min,"
Action, Adventure, Drama            "
35,"Dude, Where's My Car?",(2000),PG-13,5.5,30        ,134445,"46,729,800",83 min,"
Comedy, Mystery, Sci-Fi            "
36,Billy Elliot,(2000),R,7.7,74        ,126785,"21,995,263",110 min,"
Drama, Music            "
37,In the Mood for Love,(2000),PG,8.1,85        ,124422,"2,734,044",98 min,"
Drama, Romance            "
38,Scream 3,(2000),R,5.6,56        ,124003,"89,138,076",116 min,"
Horror, Mystery            "
39,Hollow Man,(2000),R,5.8,24        ,123709,"73,209,340",112 min,"
Action, Horror, Sci-Fi            "
40,Shanghai Noon,(2000),PG-13,6.6,77        ,119193,"56,937,502",110 min,"
Action, Adventure, Comedy            "
41,What Lies Beneath,(2000),PG-13,6.6,51        ,117891,"155,464,351",130 min,"
Drama, Fantasy, Horror            "
42,The 6th Day,(2000),PG-13,5.9,49        ,116521,"34,604,280",123 min,"
Action, Mystery, Sci-Fi            "
43,Pay It Forward,(2000),PG-13,7.2,40        ,112746,"33,519,628",123 min,"
Drama            "
44,The Whole Nine Yards,(2000),R,6.7,47        ,110121,"57,262,492",98 min,"
Comedy, Crime            "
45,Men of Honor,(2000),R,7.2,56        ,107111,"48,818,921",129 min,"
Biography, Drama            "
46,Coyote Ugly,(2000),PG-13,5.7,27        ,106492,"60,786,269",100 min,"
Comedy, Drama, Music            "
47,The Family Man,(2000),PG-13,6.8,42        ,104053,"75,793,305",125 min,"
Comedy, Drama, Fantasy            "
48,Dancer in the Dark,(2000),R,8.0,61        ,102298,"4,184,036",140 min,"
Crime, Drama, Musical            "
49,Frequency,(2000),PG-13,7.3,67        ,101297,"45,010,278",118 min,"
Crime, Drama, Mystery            "
50,Little Nicky,(2000),PG-13,5.3,38        ,98949,"39,464,775",90 min,"
Comedy, Fantasy            "
51,Bedazzled,(2000),PG-13,6.0,49        ,96837,"37,879,996",93 min,"
Comedy, Fantasy            "
52,The Cell,(2000),R,6.4,40        ,95427,"61,334,059",107 min,"
Horror, Sci-Fi, Thriller            "
53,Malena,(2000),R,7.5,54        ,90498,"3,429,045",108 min,"
Comedy, Drama, Romance            "
54,Bring It On,(2000),PG-13,6.0,52        ,87548,"68,379,000",98 min,"
Comedy, Romance, Sport            "
55,The Road to El Dorado,(2000),PG,6.9,51        ,84633,"50,863,742",89 min,"
Animation, Adventure, Comedy            "
56,Finding Forrester,(2000),PG-13,7.3,62        ,83048,"66,400,000",136 min,"
Drama            "
57,Big Momma's House,(2000),PG-13,5.2,33        ,80903,"117,559,438",99 min,"
Action, Comedy, Crime            "
58,U-571,(2000),PG-13,6.6,62        ,77597,"77,086,030",116 min,"
Action, War            "
59,Battlefield Earth,(2000),PG-13,2.5,9        ,76040,"21,471,685",118 min,"
Action, Adventure, Sci-Fi            "
60,Space Cowboys,(2000),PG-13,6.4,73        ,73539,"90,464,773",130 min,"
Action, Adventure, Thriller            "
61,Shaft,(2000),R,5.9,50        ,73419,"70,334,258",99 min,"
Action, Crime, Thriller            "
62,Mission to Mars,(2000),PG,5.7,34        ,70291,"60,883,407",114 min,"
Adventure, Sci-Fi, Thriller            "
63,Romeo Must Die,(2000),R,6.1,52        ,66800,"55,973,336",115 min,"
Action, Crime, Thriller            "
64,The Gift,(2000),R,6.6,62        ,63618,"12,008,642",111 min,"
Drama, Fantasy, Horror            "
65,Wonder Boys,(2000),R,7.2,73        ,61259,"19,389,454",107 min,"
Comedy, Drama            "
66,Titan A.E.,(2000),PG,6.6,48        ,58606,"22,751,979",94 min,"
Animation, Action, Adventure            "
67,Vertical Limit,(2000),PG-13,5.9,48        ,58605,"69,243,859",124 min,"
Action, Adventure, Drama            "
68,The Replacements,(2000),PG-13,6.6,30        ,58349,"44,737,059",118 min,"
Comedy, Sport            "
69,The Crimson Rivers,(2000),R,6.9,49        ,58001,"632,548",106 min,"
Crime, Horror, Mystery            "
70,Hera Pheri,(2000),Not Rated,8.2,No Metascore found,57071,,156 min,"
Action, Comedy, Crime            "
71,Best in Show,(2000),PG-13,7.5,78        ,56051,"18,621,249",90 min,"
Comedy            "
72,Sexy Beast,(2000),R,7.3,79        ,55543,"6,946,056",89 min,"
Crime, Drama, Thriller            "
73,Red Planet,(2000),PG-13,5.7,34        ,55410,"18,000,000",106 min,"
Action, Sci-Fi, Thriller            "
74,Proof of Life,(2000),R,6.2,45        ,54857,"32,598,931",135 min,"
Action, Drama, Thriller            "
75,Thirteen Days,(2000),PG-13,7.3,67        ,54044,"34,592,089",145 min,"
Drama, History, Thriller            "
76,The Legend of Bagger Vance,(2000),PG-13,6.7,47        ,53575,"30,695,227",126 min,"
Drama, Fantasy, Sport            "
77,Dinosaur,(2000),PG,6.5,56        ,53459,"137,748,063",82 min,"
Animation, Adventure, Family            "
78,Quills,(2000),R,7.3,70        ,51607,"7,060,876",124 min,"
Biography, Drama            "
79,Taxi 2,(2000),Not Rated,6.5,No Metascore found,51232,"729,844",88 min,"
Action, Comedy, Crime            "
80,Keeping the Faith,(2000),PG-13,6.3,60        ,49802,"37,047,880",128 min,"
Comedy, Drama, Romance            "
81,Nine Queens,(2000),R,7.9,80        ,49722,"1,221,261",114 min,"
Crime, Drama, Thriller            "
82,Boiler Room,(2000),R,7.0,63        ,49384,"16,938,179",120 min,"
Crime, Drama, Thriller            "
83,Nutty Professor II: The Klumps,(2000),PG-13,4.4,38        ,48295,"123,309,890",106 min,"
Comedy, Romance, Sci-Fi            "
84,28 Days,(2000),PG-13,6.1,46        ,45160,"37,170,488",103 min,"
Comedy, Drama            "
85,Rules of Engagement,(2000),R,6.4,45        ,44351,"61,335,230",128 min,"
Drama, Thriller, War            "
86,Ginger Snaps,(2000),Not Rated,6.8,70        ,42142,"2,554",108 min,"
Drama, Fantasy, Horror            "
87,The Kid,(2000),PG,6.1,45        ,40234,"69,691,949",104 min,"
Comedy, Family, Fantasy            "
88,Shadow of the Vampire,(2000),R,6.9,71        ,40059,"8,293,784",92 min,"
Drama, Horror            "
89,Tigerland,(2000),R,6.9,55        ,37961,"139,692",101 min,"
Drama, War            "
90,Reindeer Games,(2000),R,5.8,37        ,37645,"23,360,779",104 min,"
Action, Adventure, Crime            "
91,Small Time Crooks,(2000),PG,6.7,69        ,36943,"17,071,230",94 min,"
Comedy, Crime            "
92,Next Friday,(2000),R,6.2,41        ,36838,"57,328,603",98 min,"
Comedy            "
93,Chopper,(2000),R,7.2,65        ,36156,"234,259",94 min,"
Biography, Crime, Drama            "
94,Book of Shadows: Blair Witch 2,(2000),R,4.0,15        ,35849,"26,437,094",90 min,"
Adventure, Fantasy, Horror            "
95,102 Dalmatians,(2000),G,4.9,35        ,34803,"66,957,026",100 min,"
Adventure, Comedy, Family            "
96,Nurse Betty,(2000),R,6.1,69        ,32897,"25,167,270",110 min,"
Comedy, Crime, Drama            "
97,Get Carter,(2000),R,5.2,24        ,32634,"14,967,182",102 min,"
Action, Crime, Drama            "
98,Dracula 2000,(2000),R,4.9,26        ,32075,"33,022,767",99 min,"
Action, Fantasy, Horror            "
99,Dungeons & Dragons,(2000),PG-13,3.6,14        ,32023,"15,220,685",107 min,"
Action, Adventure, Fantasy            "
100,The Way of the Gun,(2000),R,6.7,49        ,31805,"6,055,661",119 min,"
Action, Crime, Drama            "
101,Where the Heart Is,(2000),PG-13,6.8,30        ,31719,"33,771,174",120 min,"
Comedy, Drama, Romance            "
102,The Skulls,(2000),PG-13,5.7,24        ,30956,"35,007,180",106 min,"
Action, Crime, Drama            "
103,Vampire Hunter D: Bloodlust,(2000),R,7.7,62        ,29216,"151,086",103 min,"
Animation, Action, Fantasy            "
104,The Art of War,(2000),R,5.7,30        ,28690,"30,208,599",117 min,"
Action, Adventure, Crime            "
105,You Can Count on Me,(2000),R,7.5,85        ,28167,"9,180,275",111 min,"
Drama            "
106,Mohabbatein,(2000),Not Rated,7.1,No Metascore found,27308,,216 min,"
Musical, Drama, Romance            "
